Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
AC126544.1,-0.786,0.355
ANKFN1,0.286,-0.355
CNTN1,0.731,0.002
CNTN4,-0.258,0.122
CNTN3,0.536,-0.134
CASQ1,-0.157,-0.58
CRYBG3,-0.08,0.093
AFG3L1P,-0.622,-0.06
SLC35B1,-0.182,-0.777
SLC35B3,-0.879,-0.142
SLC35B2,-0.754,-0.336
SLC35B4,-0.866,0.213
THEMIS,-0.208,0.566
SLC35C1,0.141,0.529
RAB1B,0.315,0.143
TMEM17,0.182,-0.772
GLDC,0.434,-0.084
SLC35A4,-0.321,0.507
ATP2B1,-0.433,0.599
ATP2B2,-0.637,0.699
ATP2B3,-0.622,0.536
ATP2B4,0.512,-0.816
EIF1AX,-0.79,0.417
EIF1AY,0.108,-0.748
RAB23,0.459,0.008
DYNC2H1,-0.634,0.469
LOC645225,0.602,-0.388
RRP7B,0.886,-0.132
RRP7A,0.792,-0.086
TANC1,-0.659,0.162
OPTN,-0.262,-0.784
TMEM26,0.728,-0.03
TMEM25,-0.73,0.079
GLCE,-0.259,-0.668
LETM1,0.535,-0.187
ATP2C2,-0.125,-0.821
RAB14,-0.739,0.045
RAB15,0.197,-0.511
RAB13,0.224,-0.725
LOC645212,-0.244,-0.771
MMD,0.677,-0.673
MME,-0.217,0.397
RIMS2,-0.687,0.127
RIMS4,-0.442,0.168
RIMS3,-0.453,0.446
ALG1L,0.599,-0.27
SUPV3L1,-0.807,0.006
ZNF322P1,-0.748,0.126
RHBDF2,-0.032,-0.746
RYBP,-0.187,-0.465
HN1L,-0.611,-0.258
PLA2G4A,-0.142,0.268
ATP2A2,-0.431,0.769
ATP2A1,0.154,0.597
FABP5P3,0.4,-0.718
TTLL5,-0.709,0.16
TTLL6,-0.663,0.366
GLI2,0.682,-0.325
TTLL1,-0.149,-0.918
CANX,-0.234,-0.899
GLI1,0.682,-0.392
CRYBB1,0.182,0.169
LONP1,-0.084,-0.128
MKX,-0.391,0.412
CAP1,0.386,-0.723
AGAP1,-0.61,-0.457
AGAP2,0.639,-0.035
AGAP3,-0.162,-0.916
RPGRIP1,0.603,0.01
RHBDD2,0.587,-0.539
ZDHHC14,0.662,0.035
ZDHHC17,-0.788,0.285
ZDHHC12,0.775,-0.394
CRYBA2,-0.289,0.269
CRYBA1,-0.175,0.538
MIA,0.315,-0.221
RAB3B,0.343,-0.139
RAB3C,0.743,-0.06
RAB3D,0.476,0.149
ZDHHC18,0.082,0.283
HMMR,0.118,-0.135
MIF,0.46,-0.63
SPHKAP,0.327,-0.59
ZDHHC23,0.183,-0.521
ZDHHC22,0.27,0.527
RAB43,-0.608,-0.599
RRP12,-0.61,0.124
CAP2,0.263,-0.044
NLGN1,-0.273,-0.084
SYNPO2,-0.182,0.516
NLGN3,0.556,-0.556
RAB32,0.475,-0.629
ERP44,-0.878,0.04
RAB31,0.348,-0.6
LOC644189,-0.417,-0.706
RAB37,-0.588,0.639
RAB36,0.887,-0.233
RAB34,0.289,-0.73
CAPG,0.771,-0.426
H3F3AP4,-0.137,0.442
SVIP,-0.663,-0.326
CAST,-0.564,0.492
Sep-05,0.354,-0.668
Sep-03,0.618,-0.221
Sep-02,-0.115,-0.685
CRYGS,-0.801,-0.345
LOC644172,0.244,-0.817
CRYGN,0.496,-0.48
RPS2P32,0.063,-0.898
CASK,0.14,-0.839
TMEM9B,-0.443,-0.76
ZNF182,-0.792,0.303
CRYGD,-0.336,-0.211
ZNF185,0.01,-0.758
RP11-364B6.1,-0.699,-0.168
MX1,-0.642,0.299
MX2,0.233,-0.173
ZNF180,-0.692,0.242
ZNF189,-0.612,0.239
SPA17,0.076,-0.464
ZNF193,-0.642,0.482
NDEL1,-0.555,-0.525
FNBP1L,0.378,-0.76
Sep-06,-0.095,0.67
ANKFY1,-0.67,0.433
Sep-09,0.459,-0.404
FXYD1,0.738,-0.265
FXYD2,0.672,0.002
CAV2,-0.32,-0.499
FXYD3,0.762,0.092
MVD,0.163,-0.734
C6ORF228,-0.883,-0.003
TMEM81,-0.754,-0.123
TMEM82,0.158,0.05
FXYD6,0.417,-0.789
TMEM196,0.171,-0.652
OBSCN,0.51,-0.469
TMEM97,0.073,-0.266
SEPW1,0.351,-0.81
GNRH1,-0.934,0.082
TMEM93,0.01,-0.786
TMEM91,0.14,-0.609
TMEM8A,0.561,-0.4
GRTP1,0.53,-0.288
GLMN,-0.674,0.315
LOC284033,0.581,0.071
LDOC1,0.142,-0.614
TMEM88,-0.66,-0.013
NPEPL1,-0.066,-0.149
GM2A,-0.326,0.282
TMEM60,-0.577,-0.349
TMEM61,0.186,-0.294
AP000654.2,0.27,-0.848
TMEM54,0.236,-0.857
TMEM173,-0.161,-0.518
TMEM56,-0.638,-0.455
TMEM57,-0.289,0.506
MSN,0.075,-0.481
MT3,0.761,-0.236
NACAP1,-0.481,-0.501
SVOP,0.578,-0.638
HMBS,-0.372,0.078
OXGR1,-0.546,0.354
TMEM189,0.139,-0.679
MSC,0.445,-0.039
KRTCAP3,-0.594,0.447
TMEM67,-0.727,0.002
TMEM68,0.384,-0.084
CLEC16A,-0.787,0.325
TMEM186,-0.233,-0.793
TMEM65,0.294,-0.229
TMEM66,0.286,-0.188
TMEM180,-0.071,-0.747
TMEM181,0.21,-0.524
TMEM182,0.237,-0.43
MRO,0.445,-0.433
TMEM158,0.517,-0.769
TMEM42,-0.273,-0.899
TMEM155,-0.018,0.318
ROPN1L,-0.453,-0.209
TMEM159,0.478,-0.758
GLS2,-0.92,0.14
KIAA0020,0.34,-0.402
TMEM35,-0.837,0.164
MR1,0.845,-0.268
GLRX,-0.725,0.068
GLRB,-0.684,0.386
TMEM53,0.664,-0.313
TMEM52,0.834,-0.318
TMEM169,-0.069,0.324
PAPLN,0.855,-0.104
LOC389458,0.414,-0.494
TMEM49,-0.903,-0.086
SH3BGRL,-0.798,0.016
TMEM47,0.615,-0.556
MPI,-0.24,-0.884
CLEC18B,0.152,-0.243
TMEM164,0.603,-0.487
MPO,0.117,-0.659
MAPK8IP1,0.601,-0.558
MPL,-0.239,-0.68
STRC,-0.647,0.636
FSTL4,-0.228,0.693
ZNF250,-0.451,0.516
FSTL1,-0.436,0.731
CITED4,0.371,0.085
CITED2,0.052,0.843
FSTL5,0.481,-0.434
FAM201A,0.519,0.297
UBE2MP1,-0.398,-0.842
RXRA,0.253,-0.655
RXRG,0.713,-0.327
EIF2S3,-0.871,-0.042
SPIRE2,-0.229,0.323
ZNF233,0.152,-0.442
ZNF232,-0.56,0.223
SORCS1,-0.404,0.585
ZNF230,-0.827,-0.201
SORCS3,-0.159,-0.387
ZNF229,0.753,0.036
ZNF225,-0.439,0.639
ZNF224,-0.806,0.062
ZNF223,-0.887,0.046
LOC389332,-0.01,0.139
NUF2,-0.679,0.163
KIAA1407,-0.231,-0.592
ADAP2,0.273,-0.781
ZNF219,0.078,-0.826
ZNF292,-0.821,-0.027
ZNF295,-0.657,0.635
RG9MTD1,0.294,-0.123
RG9MTD2,-0.464,0.659
PDE11A,0.336,-0.016
TOP1P2,-0.872,-0.101
ANGPT1,0.063,-0.605
ZC3HAV1L,0.2,-0.401
MYB,0.652,-0.525
MYC,-0.235,0.72
STX6,-0.849,0.067
ZNF281,0.103,0.21
STX4,-0.221,-0.804
STX2,0.035,-0.648
ZNF284,-0.602,0.41
PDE10A,-0.113,0.574
TOP1MT,0.526,0.04
TLCD1,0.687,-0.484
MFSD7,0.313,0.038
MFSD6,-0.25,-0.307
ZNF273,-0.931,-0.108
MFSD2,-0.75,-0.365
ZNF271,0.168,0.002
DGKA,0.304,-0.473
PCSK1,-0.553,0.668
DGKB,-0.282,-0.553
DGKD,-0.52,-0.009
DGKG,0.191,-0.441
PCSK9,-0.113,0.32
PCSK7,-0.568,-0.209
ZNF268,-0.477,0.712
PCSK6,-0.261,0.121
PCSK5,0.656,-0.623
HAPLN2,-0.366,0.098
HAPLN4,-0.594,0.471
CMTM1,0.148,-0.834
ELAVL1,-0.633,-0.464
DGKI,-0.489,0.401
ELAVL4,-0.255,0.658
P2RY12,0.565,-0.52
P2RY13,0.481,-0.618
MPHOSPH9,-0.665,0.488
P2RY14,-0.293,0.212
CMTM8,0.572,-0.652
CMTM7,0.304,-0.671
CMTM4,0.478,-0.638
MPHOSPH6,-0.052,-0.886
CMTM3,0.518,-0.467
ZNF257,-0.487,0.059
CMTM5,-0.301,-0.271
EIF6,0.525,-0.333
TSPAN1,-0.77,0.089
TSPAN2,0.491,-0.614
AC100793.3,0.788,-0.089
TSPAN3,-0.027,0.247
TSPAN4,0.477,-0.541
TSPAN5,-0.083,0.468
TSPAN6,0.616,-0.544
FAM209A,-0.831,-0.195
TSPAN8,-0.404,0.011
TNFSF13,0.096,-0.499
TSPAN9,-0.767,0.266
KIAA1456,-0.601,0.667
CBFB,0.034,-0.83
KIAA1462,0.003,0.634
OLFML3,-0.095,-0.714
EIF1,-0.249,-0.797
INSR,-0.509,0.296
EDARADD,0.059,-0.887
KIAA1467,-0.375,-0.504
SGSM1,0.202,-0.475
KDM2B,-0.897,0.114
SGSM2,-0.167,-0.886
NGB,-0.17,-0.12
PTGFRN,0.376,-0.156
INTU,0.257,-0.639
STX8,-0.702,0.412
STX7,0.192,-0.562
CCDC90A,0.059,-0.823
LOC730651,-0.137,0.77
EID3,-0.462,0.284
CCDC90B,0.219,-0.901
NHS,-0.373,-0.688
ENKUR,0.361,-0.475
KIAA1486,0.409,0.051
FAM189A1,-0.605,0.159
PCYT1B,0.393,-0.561
ARPP19,-0.231,-0.833
MYL12B,0.135,-0.906
LOC730658,-0.914,-0.177
TRIP6,0.265,-0.544
CXADR,-0.047,-0.903
GLB1,-0.287,-0.447
TRIM5,0.611,0.137
TRIM2,-0.618,-0.403
GPKOW,-0.271,-0.847
TRIM6,0.708,-0.547
TRIM7,-0.427,0.728
KDM5C,-0.344,0.601
LRP2BP,-0.267,0.277
HLTF,-0.885,-0.189
BSPRY,0.458,-0.335
HORMAD2,0.416,0.327
KDM6B,-0.255,0.338
GALNT3,-0.628,0.282
GALNT1,0.063,-0.147
NDN,-0.405,-0.741
NDP,0.359,-0.721
GALNT5,0.295,0.707
TYW3,-0.358,0.248
C1QTNF3,-0.148,-0.749
C1QTNF1,-0.203,0.593
C1QTNF2,0.559,-0.195
LOC285741,-0.306,-0.615
NF2,-0.765,-0.268
NEB,-0.784,0.248
KDM4C,-0.888,-0.107
SLC14A1,-0.103,-0.198
ITGB3BP,-0.876,-0.125
SLC36A1,0.026,0.795
EIF2C1,-0.671,0.499
NOV,0.677,-0.595
AC091878.1,0.036,0.614
EIF2B2,-0.425,-0.204
OSBP2,-0.838,0.329
LOC729370,-0.063,-0.287
ITGA2B,-0.46,0.163
EIF2C4,-0.571,0.172
KCNMB3,-0.782,-0.128
KCNMB4,0.143,-0.909
ITGA11,-0.509,0.614
OBFC2A,0.526,-0.692
MTP18,-0.594,0.273
CDGAP,0.01,-0.695
KCNMB1,0.312,-0.531
KCNMB2,0.324,-0.736
AC009365.1,0.163,-0.838
AGBL3,-0.614,0.09
NPB,0.596,-0.504
AGBL1,0.619,-0.24
SUB1,0.48,-0.783
AGBL4,-0.581,-0.217
AGBL5,-0.333,-0.854
NPL,0.593,-0.139
TULP3,-0.034,-0.532
NPY,0.726,-0.429
DCP1A,-0.882,0.333
FJX1,-0.251,-0.68
SLC36A4,-0.671,-0.303
GOT1L1,-0.121,0.117
ZFYVE9,-0.513,0.592
AL137229.4,0.658,-0.19
DYNC1I1,0.07,-0.751
LOC283588,-0.499,0.043
RPH3AL,0.268,-0.33
CBR4,-0.697,-0.292
CHMP1A,0.711,-0.433
CHMP1B,-0.287,-0.787
NUS1,0.297,-0.529
RP11-45B20.3,0.635,-0.44
NMB,0.056,-0.29
NMU,0.5,-0.005
NLK,-0.654,0.285
DNPEP,-0.056,-0.791
CHMP4A,-0.377,-0.863
CBX6,0.17,-0.321
CBX5,-0.041,0.562
SUZ12,-0.841,0.073
CELF3,0.246,-0.44
CHMP2A,0.356,-0.543
PAQR6,-0.615,-0.472
PAQR9,-0.203,0.639
PAQR3,-0.617,0.356
CASD1,-0.524,-0.717
PAQR5,-0.221,0.364
HAVCR2,0.061,-0.704
DAND5,0.862,0.013
FLJ42627,-0.708,0.262
RABIF,0.379,-0.289
CASC3,-0.863,-0.324
CASC1,-0.626,-0.463
ATF7IP2,-0.007,-0.54
NXN,0.175,-0.552
NUDT16L1,0.195,-0.82
SV2B,0.047,-0.133
SV2A,-0.715,0.448
SV2C,-0.474,0.547
NSF,0.03,0.083
RABL4,0.254,-0.848
CCDC88B,-0.321,0.239
INGX,0.548,-0.142
MPP1,-0.71,0.472
RABL5,0.276,-0.906
CCDC88C,-0.459,-0.416
MPP2,0.099,-0.623
WBSCR17,0.599,-0.148
MPP6,0.603,-0.517
MPP7,-0.739,-0.097
NRL,0.558,0.013
HYMAI,-0.639,0.391
HMGN2P46,-0.31,-0.803
ADAD2,0.264,0.086
ING3,-0.867,0.112
P2RX6P,0.284,0.507
RP5-990P15.1,-0.461,-0.602
AP000872.1,-0.098,-0.494
ING1,-0.786,-0.087
GIGYF1,-0.505,0.556
INF2,0.06,0.343
LOC653051,0.759,-0.551
LOC644242,0.06,0.528
NTS,0.24,-0.15
MPND,-0.026,-0.714
AP000911.1,-0.214,-0.328
AMOTL1,0.215,0.511
AMOTL2,0.166,0.428
LPHN2,-0.523,0.484
LPHN3,0.099,-0.889
LRRC9,-0.377,0.14
LRRC7,0.333,-0.261
HIGD1B,-0.651,0.006
LRRC4,-0.812,0.293
RP1-152L7.5,0.178,0.607
NOXA1,-0.56,-0.329
LRRC2,0.25,-0.776
EGFLAM,0.645,-0.153
ORAI2,-0.455,-0.518
CACNB2,-0.365,-0.592
CACNB3,0.168,-0.428
CACNB4,-0.706,0.605
LOC283788,-0.922,0.05
EGFEM1P,0.157,-0.547
DHX8,-0.719,-0.233
NXF5,0.074,-0.654
NXF2,0.343,-0.311
NXF1,-0.783,-0.488
NUAK1,-0.189,0.711
AP2S1,0.486,-0.474
TICAM1,-0.437,0.223
ERRFI1,-0.944,-0.168
CACNG8,-0.314,0.474
CACNG7,0.047,0.613
ARHGEF18,-0.497,0.649
ELANE,0.654,0.07
ARHGEF19,0.182,-0.37
CACNG4,0.131,-0.272
ARHGEF17,-0.369,0.327
CACNG3,0.476,-0.75
CACNG2,-0.366,0.578
CACNG1,0.63,-0.247
ARHGEF11,-0.775,0.16
MGC12916,-0.069,0.505
CCDC64B,0.045,0.721
ARMCX4,-0.66,0.304
RFPL1,-0.879,0.001
ARMCX2,0.522,-0.614
ARMCX1,0.568,-0.579
RFPL3,-0.653,-0.05
KNDC1,-0.093,0.599
BRMS1L,-0.033,-0.838
ERICH1,-0.192,-0.598
AC069029.1,0.644,-0.095
ENHO,0.501,-0.334
JDP2,-0.68,0.654
ENAH,-0.36,-0.694
CGB5,-0.068,-0.629
PASK,-0.792,0.396
GLYATL2,0.091,0.185
AP000843.1,-0.011,0.137
HHIPL1,0.811,-0.223
HHIPL2,-0.189,0.148
TMEM167A,0.262,-0.136
ENC1,0.293,-0.702
CSTF2T,-0.577,0.188
UBFD1,-0.464,-0.301
LRRK2,-0.694,0.45
LRRK1,-0.023,0.063
GLUD2,0.542,-0.625
GLUD1,0.388,-0.549
BEX1,0.159,-0.31
BEX2,0.216,-0.785
ISYNA1,0.521,-0.533
ADRA2A,0.462,0.664
ADRA2C,0.205,-0.595
TMSB4XP8,0.299,-0.445
LYVE1,0.245,-0.665
SARM1,-0.594,-0.115
CYP4Z1,-0.25,-0.808
TBXA2R,0.474,-0.395
ADRA1B,0.725,-0.202
FAM36A,-0.467,-0.029
ADRA1D,0.031,0.004
CNRIP1,0.059,-0.572
CLSTN2,0.318,-0.053
CLSTN1,-0.525,-0.278
PAX6,0.622,-0.609
PAWR,0.13,0.183
PAX2,0.565,-0.108
PRMT2,0.121,-0.897
PRMT7,-0.882,0.126
PRMT8,-0.687,0.044
PAX8,0.137,0.272
PRMT6,0.673,0.045
SIGLEC10,0.78,-0.267
SIGLEC11,0.723,-0.393
PGM2L1,0.663,-0.591
SARNP,-0.094,-0.932
ANKRD34B,0.24,0.086
ANKRD34A,0.163,0.046
ANKRD34C,-0.394,0.805
ADH5,0.092,-0.801
ZBTB8OS,-0.834,-0.108
SELPLG,0.583,-0.187
COBLL1,-0.167,0.708
AKR7A2P1,-0.237,-0.849
LINC00256B,-0.463,-0.001
LINC00256A,-0.005,0.204
FRZB,-0.609,-0.007
AVPI1,-0.714,0.048
ADI1,0.38,-0.576
MMP23A,0.287,0.111
WDSUB1,-0.141,0.463
SCPEP1,0.036,-0.921
FAM110A,-0.681,0.385
FAM110C,0.875,-0.205
SIDT1,0.659,-0.281
CYP4Z2P,0.12,-0.299
CCBE1,0.71,-0.425
ABCB10,-0.849,0.314
COL10A1,0.429,0.089
EMX1,-0.536,0.535
ANAPC4,-0.623,0.182
UQCRHP2,-0.389,-0.423
EEPD1,-0.886,0.301
DHDH,0.901,0.042
LHFPL3,0.167,-0.713
LHFPL4,-0.333,0.195
TPST1,-0.271,-0.884
TPST2,-0.632,-0.062
TFCP2L1,-0.128,0.735
RABEPK,-0.57,-0.419
SFXN4,-0.888,-0.248
SFXN1,-0.815,-0.308
SFXN5,0.401,-0.154
LOC158696,-0.834,0.235
OSGEP,-0.614,0.276
FAM111A,0.054,-0.653
RABEP2,-0.675,0.006
CPEB2,-0.233,-0.663
CPEB3,-0.859,-0.259
LOC100288911,0.404,-0.833
AP2B1,0.556,-0.381
FAM35B,-0.784,0.314
PCDH11Y,-0.36,0.24
PCDH11X,-0.217,0.506
FAM113B,0.469,-0.744
IFFO2,-0.916,-0.2
IFFO1,-0.807,0.002
CTXN3,0.09,-0.056
LOC100288939,-0.675,0.637
MIR31HG,-0.599,0.647
PBEF1,-0.006,-0.211
CTXN1,0.714,-0.589
ZFP36L1,0.582,-0.067
ZFP36L2,0.228,-0.543
DNALI1,0.141,-0.677
FAM117A,0.282,-0.605
XBP1,-0.866,-0.202
HSF2BP,0.671,-0.238
FAM32A,-0.11,-0.811
JARID2,-0.492,0.706
LRRN2,0.815,-0.227
LRRN3,-0.332,0.611
SPHAR,-0.811,0.192
FAM115C,-0.761,0.377
MSRB2,-0.189,-0.83
NKAPL,-0.857,0.048
LOC100288929,0.19,-0.544
MSRB3,-0.659,0.421
FAM116A,-0.681,0.428
SLC16A2,0.781,-0.297
AP2A2,0.609,-0.233
FAM116B,0.689,-0.135
SLC16A7,-0.94,0.049
FBLN2,0.455,-0.519
SLC16A6,-0.902,0.169
FBLN5,-0.587,-0.593
SLC16A9,0.473,-0.493
GFPT1,0.226,-0.63
EEF1E1,-0.634,-0.152
GFPT2,-0.785,-0.42
SLC16A8,0.662,-0.351
FBLN7,-0.552,0.612
LRRN1,0.424,-0.468
YJEFN3,0.482,-0.7
TMEM176B,0.347,-0.826
NHLH1,0.482,0.11
TMEM176A,0.524,-0.689
TTC9B,0.718,0.022
FAM119A,-0.448,0.447
SLC25A21,0.56,-0.257
SLC25A25,-0.893,-0.111
C16orf89,0.652,-0.538
SLC25A23,0.705,-0.431
SLC25A22,0.338,-0.693
HCRP1,-0.509,0.274
PCDHGB8P,-0.343,0.455
CCDC74A,-0.569,-0.627
LYPLA1,-0.696,0.226
FAM118B,-0.39,-0.544
SLC25A32,-0.871,0.061
C16orf75,0.658,-0.308
SLC25A34,-0.459,0.262
SLC25A36,-0.83,0.12
C16orf79,-0.6,0.241
SLC25A37,-0.571,0.68
SLU7,-0.826,0.022
EMP3,0.487,-0.664
C16orf73,0.66,-0.499
EMP2,0.251,-0.021
EEF1B2,-0.385,-0.537
ATHL1,0.095,-0.737
FAM226A,-0.586,0.43
C16orf63,-0.485,-0.652
RP11-904M10.1,-0.537,0.462
SSX2IP,-0.681,0.427
DEFB1,-0.227,0.507
TP53I11,0.389,-0.536
SLC25A12,-0.778,0.56
C16orf58,0.084,-0.59
C16orf59,-0.059,0.434
SLC25A14,-0.031,-0.808
SLC25A13,-0.647,-0.069
C16orf57,0.202,0.349
C16orf55,0.586,-0.693
YIPF2,-0.123,-0.391
LOC283701,-0.88,-0.224
SLC25A15,-0.622,0.298
SLC25A18,0.287,-0.741
YIPF1,-0.218,-0.788
SLC25A17,-0.89,-0.123
AEBP1,0.461,-0.066
LCE3C,0.281,0.574
LARP1,0.334,-0.521
AC092436.3,0.155,0.237
NIPAL3,-0.765,-0.112
NIPAL2,-0.447,0.744
KIRREL2,0.412,-0.777
TNIP1,-0.33,0.504
TNIP3,0.42,-0.451
KIRREL3,0.642,-0.212
FLJ33996,-0.724,0.279
NOXO1,0.406,0.758
EML6,-0.486,0.555
EML5,-0.855,0.197
EML4,-0.392,-0.21
EML2,-0.82,0.055
EML1,-0.374,-0.394
ITGB1BP1,-0.023,-0.707
CFL2,-0.853,-0.125
ITGB1BP2,-0.24,0.13
SLPI,-0.088,-0.396
SC5DL,-0.559,-0.648
ZNF804B,-0.051,0.186
TUBGCP4,-0.208,0.283
TUBGCP5,-0.891,-0.053
HS6ST2,-0.368,0.359
SLC25A44,-0.742,0.416
SLC25A40,-0.693,0.281
CSGALNACT1,0.41,-0.689
C16orf95,0.534,-0.558
C16orf93,-0.072,-0.919
LOC151009,-0.808,0.237
SULF2,0.483,-0.821
C16orf91,-0.714,0.025
ITPRIPL1,-0.079,0.652
RSRC1,-0.787,0.38
LOC100130557,-0.762,0.162
SULF1,0.123,-0.398
ITPRIPL2,0.496,-0.678
RUSC1,-0.297,0.414
PGPEP1,-0.299,-0.743
GUCA2B,-0.815,0.07
DDAH2,0.468,-0.752
DDAH1,0.546,-0.685
NWD1,0.686,-0.483
LNP1,-0.839,0.142
ADAMTS9,0.39,-0.267
ADAMTS8,-0.049,-0.819
MIR100HG,-0.165,-0.42
FDX1L,0.343,-0.708
SMPX,-0.715,-0.299
MST1R,0.035,-0.129
FCHSD1,-0.661,0.113
ADAMTS3,0.458,-0.696
TM6SF1,0.07,-0.08
ADAMTS5,-0.438,0.507
PRODH,0.433,-0.677
ACP5,0.091,-0.159
SYPL2,0.673,-0.172
HEXIM1,-0.886,-0.268
SPHK2,-0.245,0.09
NDUFA4L2,-0.716,-0.413
SPHK1,0.373,0.467
UG0898H09,0.626,-0.69
SYNGR3,-0.024,-0.756
SYNGR4,0.455,-0.038
AP3S1,0.56,-0.669
NUBP1,-0.559,-0.6
ACO2,-0.224,-0.825
GLB1L3,-0.78,0.289
GRAMD1C,0.581,-0.414
GRAMD1B,-0.236,0.788
CLOCK,-0.616,0.278
IGHV2-5,0.462,0.459
NAGPA,-0.433,0.692
CERK,-0.861,0.283
CES3,0.334,-0.518
CES2,-0.553,-0.284
CES8,-0.102,-0.791
CES7,0.059,-0.633
FTCD,0.289,0.191
LARGE,0.484,-0.752
C18orf1,-0.592,-0.145
C18orf8,-0.746,0.383
WDR51A,0.441,-0.592
LNX2,-0.067,0.785
LNX1,-0.528,-0.093
FAM49A,0.723,-0.175
FAM49B,-0.786,0.339
MIER3,-0.143,0.809
DCTPP1,0.147,-0.746
VAX1,-0.578,-0.329
CFC1,-0.534,0.432
EARS2,-0.34,-0.777
LOC129026,-0.117,0.421
MFAP3,-0.734,0.326
MFAP4,-0.277,-0.585
RP4-725G10.1,0.584,-0.602
ACHE,-0.509,-0.333
CCBL1,-0.68,-0.166
ANGPTL7,-0.153,0.408
ANGPTL6,0.513,-0.635
TMED10P1,-0.097,-0.644
LOC100131943,-0.848,0.394
ANGPTL1,0.34,-0.243
ANGPTL4,0.573,-0.508
VAV3,-0.453,0.722
VSTM1,-0.04,0.49
NEUROG2,0.411,-0.049
FAM108A4P,-0.522,0.416
VAV2,0.346,-0.358
VAV1,0.562,-0.737
ACOX2,0.612,-0.574
FAM108A5P,-0.796,-0.192
AP000926.2,-0.24,0.807
SYNGR1,0.106,0.188
ACOX3,0.693,-0.41
STXBP5L,-0.712,0.44
TSPAN11,0.008,-0.629
RSPO4,0.495,-0.543
TSPAN12,0.364,-0.297
ITPRIP,-0.708,-0.109
RSPO3,0.662,-0.616
RSPO2,-0.662,0.521
VASN,-0.295,-0.449
RP11-392A22.2,0.383,-0.242
VAT1,0.61,-0.241
PPM1D,-0.807,-0.043
ATG4D,-0.735,-0.273
PPM1E,-0.577,-0.143
PPM1J,-0.43,-0.403
ATG4A,-0.349,0.402
PPM1N,0.062,-0.857
PPM1L,-0.036,0.788
PPM1M,0.723,-0.429
NGLY1,-0.855,-0.022
LOC283683,-0.254,0.721
AP3M2,0.634,-0.47
TSPAN33,0.367,-0.693
KIF7,-0.331,0.057
TSPAN31,-0.209,-0.126
GCHFR,-0.496,-0.206
GUCA1A,0.526,-0.241
GUCA1C,0.439,-0.116
HS3ST3A1,0.145,0.1
IGLON5,-0.658,-0.353
TSPAN14,0.684,-0.079
TSPAN13,-0.776,0.327
GYG2,0.183,-0.51
TSPAN16,0.841,-0.269
GYG1,-0.318,-0.14
TSPAN18,0.526,-0.593
CTD-2536I1.1,0.532,-0.564
SMC2,-0.863,0.224
TSPAN19,-0.093,0.593
SH3BGRL2,-0.431,-0.291
MAMLD1,0.251,-0.063
SH3BGRL3,0.619,-0.647
SNCG,0.68,-0.452
FASTKD1,-0.722,0.567
FASTKD2,0.089,-0.153
SNCB,-0.64,-0.15
SNCA,0.258,-0.813
SLC26A10,-0.536,0.39
Z83840.4,-0.613,-0.428
SLC26A11,-0.05,-0.807
BDNF,0.483,-0.537
FAM40B,-0.261,0.012
FAM40A,-0.218,-0.8
PAN2,-0.915,-0.138
NUDT16,0.117,-0.782
NUDT17,-0.15,-0.912
NUDT18,0.405,-0.465
NUDT14,0.618,-0.585
ABCC11,0.68,-0.004
CYP26A1,0.528,-0.594
HCFC1R1,0.672,-0.339
NUDT10,0.23,-0.865
NUDT11,0.172,-0.933
ABCC12,0.65,-0.11
FAM123B,-0.737,-0.137
TMEM184A,0.118,0.257
TMEM184C,-0.848,-0.239
ADD3,-0.246,-0.751
HS3ST3B1,0.252,0.396
PALM,0.542,-0.213
FAM122C,0.138,-0.879
GYS1,-0.343,0.365
NRBF2,-0.452,-0.024
WDR45L,-0.401,-0.348
FAM43B,-0.584,-0.262
FAM43A,-0.422,0.436
GYPB,0.703,-0.05
ENY2,0.051,-0.335
GYPE,0.751,-0.51
SLC15A2,0.714,-0.415
NFKB1,-0.562,0.344
N6AMT2,0.379,-0.64
ANKRD19P,0.405,-0.531
AP3B2,0.226,-0.64
PARG,-0.789,0.03
FAM129B,0.301,-0.407
FAM129A,0.261,-0.448
ANKRD18A,-0.457,-0.205
ANKRD18B,-0.593,-0.35
RXFP1,0.218,-0.199
OR2AE1,0.274,0.136
FAM128B,0.381,-0.555
ORMDL2,-0.123,-0.453
TBX19,-0.122,-0.706
FAM46A,0.52,-0.483
SUMO3,0.214,-0.882
FNDC4,-0.921,0.044
FNDC5,-0.815,0.399
AP3D1,-0.57,-0.702
TPRKB,-0.898,-0.002
FAM127B,0.246,-0.758
FAM127A,0.686,-0.377
SATL1,-0.184,-0.775
PTPRZ1,0.374,-0.66
RPSAP15,-0.78,-0.337
WDR42A,-0.879,-0.044
ITPR3,-0.366,-0.138
ITPR1,-0.728,0.524
PAPOLB,-0.258,0.663
FAM47E,-0.002,-0.833
NEUROD2,0.718,-0.116
NEUROD1,-0.022,-0.054
NEUROD6,0.656,-0.522
SLC15A4,-0.858,-0.158
PAPOLG,-0.642,0.268
SLC15A3,0.141,-0.554
FAM126B,-0.835,0.207
RP11-85G18.4,0.198,-0.406
FAM126A,0.37,-0.413
CCDC85C,0.36,-0.68
WFS1,0.28,-0.529
CCDC85A,0.454,-0.203
ITPKC,-0.766,-0.083
